epoch,batch,all,hit
0,0,2.478224,0.1406
0,6400,1.995025,0.2812
0,12800,1.757375,0.3281
0,19200,1.262872,0.5625
0,25600,1.054649,0.6562
0,32000,1.212391,0.6250
0,38400,0.802415,0.8281
0,44800,0.988510,0.6562
0,51200,0.863883,0.7188
0,57600,0.860001,0.6562
0,64000,0.774567,0.7656
0,70400,0.853873,0.7344
0,76800,0.709625,0.7500
0,83200,0.745707,0.7500
0,89600,0.879617,0.6719
0,96000,0.812790,0.6719
0,102400,0.637882,0.7812
0,108800,0.498338,0.8125
0,115200,0.787133,0.7031
0,121600,0.756208,0.7500
0,128000,0.491824,0.8438
0,134400,0.697355,0.7656
0,140800,0.444801,0.8594
0,147200,0.381827,0.8594
0,153600,0.425583,0.8281
0,160000,0.516345,0.7969
0,166400,0.657717,0.7812
0,172800,0.467991,0.8438
0,179200,0.571015,0.7656
0,185600,0.781958,0.7656
0,192000,0.314836,0.8594
0,198400,0.635612,0.8281
0,204800,0.616534,0.7812
0,211200,0.483647,0.7812
1,0,0.271483,0.9531
1,6400,0.596700,0.8281
1,12800,0.753128,0.7656
1,19200,0.654474,0.7188
1,25600,0.461182,0.8438
1,32000,0.604342,0.8281
1,38400,0.320668,0.8750
1,44800,0.624178,0.7969
1,51200,0.364389,0.8438
1,57600,0.671931,0.7812
1,64000,0.429296,0.8438
1,70400,0.690013,0.7344
1,76800,0.450491,0.8438
1,83200,0.524375,0.7969
1,89600,0.635378,0.7500
1,96000,0.419299,0.8594
1,102400,0.505024,0.8281
1,108800,0.438064,0.8594
1,115200,0.604751,0.7656
1,121600,0.698630,0.8125
1,128000,0.341244,0.9062
1,134400,0.620698,0.8438
1,140800,0.371526,0.8594
1,147200,0.252994,0.9375
1,153600,0.379166,0.8906
1,160000,0.341583,0.8906
1,166400,0.542524,0.7656
1,172800,0.354908,0.8438
1,179200,0.318900,0.8594
1,185600,0.482800,0.8750
1,192000,0.268374,0.9062
1,198400,0.476503,0.8438
1,204800,0.513990,0.8281
1,211200,0.371037,0.8594
2,0,0.195555,0.9375
2,6400,0.490113,0.8438
2,12800,0.664843,0.7969
2,19200,0.503949,0.7656
2,25600,0.530135,0.8281
2,32000,0.406183,0.8438
2,38400,0.268125,0.8750
2,44800,0.651740,0.8438
2,51200,0.327525,0.8906
2,57600,0.455886,0.8281
2,64000,0.326583,0.8906
2,70400,0.651245,0.7812
2,76800,0.407904,0.8750
2,83200,0.557651,0.8125
2,89600,0.535619,0.8281
2,96000,0.403411,0.8594
2,102400,0.377731,0.8750
2,108800,0.302180,0.9062
2,115200,0.474960,0.8125
2,121600,0.568255,0.7969
2,128000,0.295153,0.9219
2,134400,0.585950,0.8125
2,140800,0.332639,0.8906
2,147200,0.203031,0.9219
2,153600,0.360997,0.9062
2,160000,0.316940,0.8750
2,166400,0.534950,0.8125
2,172800,0.304402,0.9062
2,179200,0.394400,0.8438
2,185600,0.410528,0.9219
2,192000,0.240613,0.9531
2,198400,0.372831,0.8438
2,204800,0.488713,0.8125
2,211200,0.331061,0.8906
3,0,0.142635,0.9844
3,6400,0.426294,0.8594
3,12800,0.604756,0.8125
3,19200,0.523530,0.7656
