epoch,batch,all,ml,at,em,vat,hit
0,0,5.861160,2.583993,2.918758,2.368371,0.110561,0.1055
0,25600,5.449702,2.519771,2.721633,2.059430,0.180036,0.2109
0,51200,3.345715,1.365015,2.271738,1.007240,0.973129,0.6641
0,76800,2.021566,0.593311,1.968644,0.396186,1.471585,0.8320
0,102400,1.710777,0.432223,1.845114,0.265980,1.530133,0.9062
0,128000,1.548362,0.354677,1.769427,0.208383,1.514915,0.8867
0,153600,1.438385,0.300959,1.722611,0.175346,1.484323,0.9141
0,179200,1.376542,0.278049,1.673961,0.157620,1.462281,0.9336
0,204800,1.339472,0.258364,1.666087,0.147240,1.446803,0.9180
1,0,1.306813,0.243760,1.635956,0.140483,1.439279,0.9414
1,25600,1.270001,0.242976,1.594362,0.131106,1.392034,0.9375
1,51200,1.240826,0.235156,1.557440,0.123585,1.382843,0.9023
1,76800,1.222799,0.231773,1.523734,0.121922,1.373278,0.9180
1,102400,1.186802,0.223217,1.497793,0.118062,1.320618,0.9609
1,128000,1.185091,0.216838,1.497798,0.115054,1.346201,0.9297
1,153600,1.128420,0.203605,1.430945,0.107545,1.293286,0.9297
1,179200,1.111339,0.202456,1.414256,0.105599,1.263360,0.9492
1,204800,1.096710,0.193031,1.417749,0.100936,1.258059,0.9492
2,0,1.081413,0.191808,1.383583,0.101426,1.243680,0.9375
2,25600,1.073428,0.196212,1.373699,0.101179,1.213091,0.9531
2,51200,1.058068,0.197992,1.349491,0.097302,1.193089,0.9336
2,76800,1.036251,0.194365,1.316145,0.097187,1.166182,0.9336
2,102400,1.027336,0.188709,1.312187,0.093687,1.170944,0.9609
2,128000,1.013473,0.187442,1.281798,0.093356,1.160453,0.9492
2,153600,0.959256,0.177564,1.215191,0.089467,1.092224,0.9414
2,179200,0.985916,0.181113,1.229148,0.093438,1.142067,0.9414
2,204800,0.948158,0.179707,1.199694,0.088700,1.066143,0.9414
3,0,0.932527,0.181421,1.161053,0.090972,1.039394,0.9375
3,25600,0.939561,0.178427,1.174313,0.087466,1.071247,0.9609
3,51200,0.912918,0.173913,1.132862,0.085658,1.044963,0.9414
3,76800,0.937616,0.184695,1.160513,0.091541,1.044088,0.9375
3,102400,0.913949,0.172868,1.137460,0.086258,1.045284,0.9648
3,128000,0.885121,0.164922,1.108904,0.082414,1.017047,0.9648
3,153600,0.857003,0.162856,1.071239,0.081777,0.969995,0.9531
3,179200,0.805844,0.159037,0.974895,0.079022,0.917722,0.9531
3,204800,0.863714,0.167914,1.072634,0.082173,0.972789,0.9570
4,0,0.830353,0.162044,1.033267,0.078968,0.931205,0.9531
4,25600,0.813483,0.163398,0.988608,0.080408,0.910312,0.9453
4,51200,0.813898,0.164869,1.002247,0.080092,0.894210,0.9492
4,76800,0.797968,0.166790,0.962355,0.081639,0.869441,0.9375
4,102400,0.803785,0.162924,0.981440,0.077025,0.898015,0.9648
4,128000,0.803291,0.161585,0.982282,0.079330,0.892305,0.9531
4,153600,0.764136,0.152411,0.926621,0.076265,0.858247,0.9453
4,179200,0.737662,0.144408,0.897633,0.073894,0.833569,0.9453
4,204800,0.759727,0.155640,0.917091,0.073864,0.850322,0.9609
5,0,0.738142,0.152709,0.888406,0.073975,0.816454,0.9648
5,25600,0.731231,0.155114,0.895488,0.074005,0.778220,0.9531
5,51200,0.718216,0.157261,0.852505,0.072080,0.777079,0.9414
5,76800,0.696072,0.153228,0.835110,0.071706,0.735352,0.9453
5,102400,0.706025,0.151038,0.827966,0.072470,0.780425,0.9570
5,128000,0.704975,0.148559,0.835568,0.072245,0.778336,0.9609
5,153600,0.666132,0.142841,0.804060,0.069805,0.707561,0.9453
5,179200,0.663097,0.136802,0.800104,0.068037,0.727422,0.9609
5,204800,0.678816,0.147903,0.805426,0.068712,0.735243,0.9531
6,0,0.668716,0.145089,0.759686,0.068871,0.756167,0.9531
6,25600,0.651912,0.143092,0.792007,0.066892,0.681089,0.9492
6,51200,0.675574,0.148937,0.774557,0.067816,0.754844,0.9648
6,76800,0.660255,0.150466,0.775323,0.069171,0.693403,0.9453
6,102400,0.641875,0.140668,0.752311,0.068215,0.690995,0.9727
6,128000,0.643159,0.144733,0.770976,0.067724,0.664701,0.9609
6,153600,0.594662,0.138140,0.695956,0.065927,0.606028,0.9531
6,179200,0.637022,0.131735,0.766680,0.065471,0.699374,0.9453
6,204800,0.628801,0.135840,0.744990,0.064436,0.683425,0.9609
7,0,0.605383,0.136587,0.701097,0.064327,0.647134,0.9609
7,25600,0.611206,0.134433,0.710069,0.064068,0.665617,0.9531
7,51200,0.610528,0.140014,0.722605,0.063967,0.632552,0.9531
7,76800,0.591961,0.138414,0.673678,0.064148,0.624318,0.9492
7,102400,0.598332,0.133092,0.686028,0.063495,0.653122,0.9570
7,128000,0.562524,0.134656,0.654509,0.061864,0.565503,0.9688
7,153600,0.574272,0.125315,0.666377,0.063067,0.619920,0.9531
7,179200,0.583768,0.129192,0.675268,0.062551,0.631481,0.9453
7,204800,0.562520,0.129815,0.640738,0.060612,0.599575,0.9688
8,0,0.539277,0.128724,0.612187,0.058672,0.560752,0.9648
8,25600,0.582238,0.126881,0.680915,0.061105,0.633260,0.9531
8,51200,0.541687,0.130831,0.626875,0.060663,0.540437,0.9570
8,76800,0.555214,0.135787,0.635479,0.061164,0.558728,0.9492
8,102400,0.525808,0.127264,0.615760,0.059308,0.515028,0.9727
8,128000,0.539394,0.130250,0.623118,0.059696,0.541711,0.9570
8,153600,0.527423,0.124375,0.582496,0.060086,0.560710,0.9492
8,179200,0.528730,0.121182,0.597744,0.060089,0.560453,0.9570
8,204800,0.545348,0.123575,0.641367,0.059188,0.567252,0.9648
9,0,0.513866,0.121876,0.587931,0.057734,0.526257,0.9688
9,25600,0.546226,0.122642,0.624987,0.058982,0.590352,0.9609
9,51200,0.526962,0.128060,0.592008,0.058550,0.542495,0.9688
9,76800,0.501326,0.124941,0.577860,0.057692,0.484450,0.9453
9,102400,0.513159,0.122816,0.598643,0.059517,0.504110,0.9648
9,128000,0.535115,0.126776,0.615916,0.058921,0.548813,0.9766
9,153600,0.477035,0.117682,0.525393,0.056279,0.484854,0.9531
9,179200,0.497500,0.115861,0.579009,0.056643,0.504313,0.9570
9,204800,0.479772,0.121837,0.539542,0.056284,0.465958,0.9766
