epoch,batch,all,hit
0,0,2.494530,0.0938
0,6400,0.806295,0.7031
0,12800,0.880080,0.6875
0,19200,0.598745,0.7500
0,25600,0.490672,0.8438
0,32000,0.633515,0.7656
0,38400,0.343722,0.8906
0,44800,0.594403,0.8125
0,51200,0.315277,0.9219
0,57600,0.418995,0.8594
0,64000,0.385659,0.8750
0,70400,0.421120,0.8594
0,76800,0.387942,0.8438
0,83200,0.534401,0.8125
0,89600,0.500530,0.8125
0,96000,0.278083,0.8750
0,102400,0.404103,0.8906
0,108800,0.292480,0.9062
0,115200,0.369227,0.8125
0,121600,0.446200,0.8125
0,128000,0.322098,0.9375
0,134400,0.392542,0.8438
0,140800,0.374846,0.8750
0,147200,0.208218,0.9375
0,153600,0.298071,0.8594
0,160000,0.367197,0.8594
0,166400,0.526764,0.8281
0,172800,0.241017,0.9219
0,179200,0.340920,0.8594
0,185600,0.335463,0.9062
0,192000,0.215907,0.9219
0,198400,0.298538,0.9062
0,204800,0.276010,0.9219
0,211200,0.280943,0.8594
1,0,0.136808,0.9531
1,6400,0.342878,0.8594
1,12800,0.421712,0.8125
1,19200,0.415126,0.8125
1,25600,0.296693,0.8906
1,32000,0.318180,0.8906
1,38400,0.196517,0.9062
1,44800,0.477702,0.8281
1,51200,0.301557,0.9062
1,57600,0.383364,0.8594
1,64000,0.314082,0.8750
1,70400,0.342762,0.8750
1,76800,0.332072,0.8750
1,83200,0.519377,0.8438
1,89600,0.381791,0.8438
1,96000,0.193385,0.9531
1,102400,0.271017,0.9219
1,108800,0.257440,0.8750
1,115200,0.374193,0.8438
1,121600,0.317989,0.8594
1,128000,0.306190,0.9219
1,134400,0.363827,0.8750
1,140800,0.313186,0.8906
1,147200,0.178290,0.9219
1,153600,0.253498,0.8906
1,160000,0.313992,0.8750
1,166400,0.523835,0.8125
1,172800,0.288685,0.8750
1,179200,0.229380,0.8594
1,185600,0.277755,0.9062
1,192000,0.163355,0.9375
1,198400,0.224707,0.9375
1,204800,0.279924,0.9062
1,211200,0.290235,0.8594
2,0,0.129402,0.9688
2,6400,0.370740,0.8594
2,12800,0.355411,0.8750
2,19200,0.369756,0.8125
2,25600,0.313266,0.8750
2,32000,0.265288,0.9062
2,38400,0.206606,0.9062
2,44800,0.522698,0.7969
2,51200,0.320768,0.9062
2,57600,0.347251,0.8594
2,64000,0.251260,0.8906
2,70400,0.345053,0.8750
2,76800,0.367793,0.8750
2,83200,0.447788,0.8438
2,89600,0.319759,0.8750
2,96000,0.198234,0.9375
2,102400,0.293347,0.9062
2,108800,0.233183,0.8906
2,115200,0.335189,0.8281
2,121600,0.264883,0.8906
2,128000,0.269553,0.9219
2,134400,0.270009,0.8438
2,140800,0.227473,0.9375
2,147200,0.146638,0.9062
2,153600,0.198824,0.9219
2,160000,0.319990,0.8594
2,166400,0.514134,0.8281
2,172800,0.253159,0.8906
2,179200,0.232939,0.8906
2,185600,0.256314,0.9062
2,192000,0.184428,0.9531
2,198400,0.205754,0.9375
2,204800,0.242027,0.9219
2,211200,0.246232,0.8438
3,0,0.110383,0.9531
3,6400,0.365834,0.8594
3,12800,0.423966,0.8594
3,19200,0.368021,0.8281
3,25600,0.330799,0.8594
3,32000,0.295698,0.9062
3,38400,0.150717,0.9219
3,44800,0.455562,0.8281
3,51200,0.259406,0.9062
3,57600,0.236726,0.8750
3,64000,0.264932,0.8906
3,70400,0.352772,0.8750
3,76800,0.315456,0.8750
3,83200,0.440681,0.8281
3,89600,0.271371,0.9375
3,96000,0.212626,0.9531
3,102400,0.175253,0.9375
3,108800,0.218270,0.9062
3,115200,0.339117,0.8594
3,121600,0.283951,0.8750
3,128000,0.298606,0.8594
3,134400,0.351362,0.8594
3,140800,0.323749,0.9062
3,147200,0.170445,0.8906
3,153600,0.204417,0.9062
3,160000,0.278485,0.8906
3,166400,0.501189,0.8438
3,172800,0.170206,0.9062
3,179200,0.239499,0.8750
3,185600,0.276045,0.8750
3,192000,0.195791,0.9219
3,198400,0.239809,0.9375
3,204800,0.205443,0.9375
3,211200,0.274073,0.8906
4,0,0.096873,0.9688
4,6400,0.322840,0.8750
4,12800,0.390481,0.8438
4,19200,0.401183,0.8125
4,25600,0.422354,0.8281
4,32000,0.243400,0.9062
4,38400,0.167676,0.9375
4,44800,0.453423,0.8125
4,51200,0.250947,0.9219
4,57600,0.263529,0.8906
4,64000,0.249081,0.8594
4,70400,0.342467,0.8594
4,76800,0.316354,0.8906
4,83200,0.418099,0.8594
4,89600,0.293402,0.8750
4,96000,0.212793,0.9062
4,102400,0.174189,0.9375
4,108800,0.234440,0.9062
4,115200,0.307902,0.8438
4,121600,0.296416,0.9062
4,128000,0.269081,0.9062
4,134400,0.286472,0.8750
4,140800,0.264681,0.9219
4,147200,0.145753,0.9062
4,153600,0.192318,0.9219
4,160000,0.299590,0.8281
4,166400,0.480401,0.8125
4,172800,0.265664,0.8906
4,179200,0.222428,0.8906
4,185600,0.246353,0.8750
4,192000,0.179278,0.9531
4,198400,0.177653,0.9219
4,204800,0.232433,0.9062
4,211200,0.220321,0.9062
5,0,0.083823,0.9844
5,6400,0.322773,0.8594
5,12800,0.333409,0.8594
5,19200,0.358488,0.8281
5,25600,0.314417,0.8438
5,32000,0.284503,0.9219
5,38400,0.125932,0.9531
5,44800,0.457963,0.8438
5,51200,0.261356,0.9375
5,57600,0.281692,0.9062
5,64000,0.261760,0.8594
5,70400,0.305306,0.8906
5,76800,0.316152,0.9062
5,83200,0.376835,0.8281
5,89600,0.287583,0.9062
5,96000,0.197003,0.9062
5,102400,0.205656,0.9219
5,108800,0.218346,0.9062
5,115200,0.299679,0.8906
5,121600,0.301566,0.9219
5,128000,0.270043,0.8906
5,134400,0.305662,0.8594
5,140800,0.262496,0.9219
5,147200,0.185918,0.8750
5,153600,0.192450,0.9062
5,160000,0.297378,0.8438
5,166400,0.493660,0.8125
5,172800,0.205538,0.9062
5,179200,0.212843,0.9062
5,185600,0.212890,0.9219
5,192000,0.161579,0.9688
5,198400,0.178292,0.9375
5,204800,0.234131,0.9219
5,211200,0.218318,0.8594
6,0,0.093304,0.9688
6,6400,0.357274,0.8906
6,12800,0.380905,0.8438
6,19200,0.359296,0.8281
6,25600,0.314624,0.8750
6,32000,0.248077,0.9062
6,38400,0.114404,0.9375
6,44800,0.434533,0.8438
6,51200,0.266829,0.9219
6,57600,0.277559,0.8438
6,64000,0.241430,0.8906
6,70400,0.286074,0.8906
6,76800,0.298955,0.8750
6,83200,0.344744,0.8906
6,89600,0.276222,0.8438
6,96000,0.203744,0.9219
6,102400,0.216363,0.9219
6,108800,0.201654,0.9062
6,115200,0.300215,0.8594
6,121600,0.340272,0.8906
6,128000,0.291836,0.8906
6,134400,0.311488,0.8438
6,140800,0.214703,0.9375
6,147200,0.128432,0.9062
6,153600,0.179048,0.8906
6,160000,0.267367,0.8750
6,166400,0.484761,0.8594
6,172800,0.145369,0.9531
6,179200,0.190234,0.8906
6,185600,0.189309,0.9688
6,192000,0.194229,0.9531
6,198400,0.272659,0.9219
6,204800,0.239279,0.9062
6,211200,0.233441,0.8906
7,0,0.085129,0.9844
7,6400,0.303791,0.8906
7,12800,0.340620,0.8594
7,19200,0.348329,0.8281
7,25600,0.317944,0.8750
7,32000,0.248889,0.9219
7,38400,0.177323,0.9375
7,44800,0.367524,0.8281
7,51200,0.254849,0.9219
7,57600,0.249955,0.9062
7,64000,0.216188,0.9062
7,70400,0.321620,0.8750
7,76800,0.316429,0.8594
7,83200,0.419502,0.8281
7,89600,0.311683,0.8906
7,96000,0.224962,0.9062
7,102400,0.181732,0.9219
7,108800,0.242421,0.8906
7,115200,0.291365,0.8906
7,121600,0.288035,0.9062
7,128000,0.245344,0.8906
7,134400,0.291303,0.8594
7,140800,0.234254,0.9062
7,147200,0.160410,0.8750
7,153600,0.244906,0.8906
7,160000,0.267925,0.9062
7,166400,0.491697,0.8438
7,172800,0.219922,0.9219
7,179200,0.255594,0.9062
7,185600,0.198052,0.9375
7,192000,0.165471,0.9531
7,198400,0.194714,0.9375
7,204800,0.199603,0.9219
7,211200,0.227798,0.9062
8,0,0.082996,0.9844
8,6400,0.334790,0.8750
8,12800,0.360747,0.8750
8,19200,0.381598,0.8281
8,25600,0.342270,0.8438
8,32000,0.240188,0.9219
8,38400,0.116361,0.9531
8,44800,0.321061,0.8594
8,51200,0.250046,0.9375
8,57600,0.239012,0.9062
8,64000,0.227831,0.8906
8,70400,0.321389,0.8750
8,76800,0.312706,0.8750
8,83200,0.461970,0.8125
8,89600,0.295545,0.8906
