epoch,batch,all,hit
0,0,2.493593,0.0703
0,25600,1.080721,0.6289
0,51200,0.507472,0.8320
0,76800,0.472866,0.8359
0,102400,0.307994,0.9180
0,128000,0.363592,0.8945
0,153600,0.326758,0.8906
0,179200,0.328688,0.8906
0,204800,0.353501,0.8906
1,0,0.313417,0.9102
1,25600,0.322622,0.9141
1,51200,0.247491,0.9258
1,76800,0.274829,0.9062
1,102400,0.211285,0.9414
1,128000,0.283334,0.9141
1,153600,0.260816,0.8945
1,179200,0.263906,0.9258
1,204800,0.251603,0.9102
2,0,0.223708,0.9258
2,25600,0.278570,0.9258
2,51200,0.225254,0.9219
2,76800,0.219689,0.9180
2,102400,0.180548,0.9375
2,128000,0.207345,0.9492
2,153600,0.211101,0.9023
2,179200,0.241385,0.9180
2,204800,0.280130,0.9102
3,0,0.205916,0.9336
3,25600,0.270654,0.9336
3,51200,0.209325,0.9219
3,76800,0.207361,0.9180
3,102400,0.169482,0.9414
3,128000,0.201333,0.9336
3,153600,0.169154,0.9219
3,179200,0.168216,0.9336
3,204800,0.241634,0.9492
4,0,0.179667,0.9375
4,25600,0.176552,0.9492
4,51200,0.201983,0.9375
4,76800,0.171633,0.9336
4,102400,0.170755,0.9492
4,128000,0.194372,0.9258
4,153600,0.163487,0.9453
4,179200,0.160128,0.9414
4,204800,0.203455,0.9414
5,0,0.204085,0.9375
5,25600,0.182820,0.9375
5,51200,0.175066,0.9453
5,76800,0.172496,0.9258
5,102400,0.170690,0.9570
5,128000,0.180989,0.9336
5,153600,0.138572,0.9570
5,179200,0.148417,0.9453
5,204800,0.182013,0.9492
6,0,0.178959,0.9414
6,25600,0.133326,0.9609
6,51200,0.183899,0.9297
6,76800,0.189393,0.9219
6,102400,0.156890,0.9531
6,128000,0.179913,0.9297
6,153600,0.136326,0.9453
6,179200,0.163620,0.9258
6,204800,0.170962,0.9492
7,0,0.185613,0.9258
7,25600,0.207478,0.9336
7,51200,0.150376,0.9492
7,76800,0.180814,0.9219
7,102400,0.166898,0.9453
7,128000,0.157174,0.9297
7,153600,0.120523,0.9609
7,179200,0.144979,0.9531
7,204800,0.220663,0.9336
8,0,0.197400,0.9297
8,25600,0.140510,0.9531
8,51200,0.140785,0.9492
8,76800,0.172542,0.9453
