epoch,batch,all,hit
0,0,2.491719,0.0469
0,6400,2.485918,0.1094
0,12800,2.484463,0.0938
0,19200,2.494041,0.0469
0,25600,2.490389,0.0156
0,32000,2.487831,0.1250
0,38400,2.480607,0.0625
0,44800,2.478846,0.1250
0,51200,2.484078,0.1250
0,57600,2.486463,0.0938
0,64000,2.487392,0.0156
0,70400,2.477749,0.1094
0,76800,2.479753,0.1406
0,83200,2.480824,0.0781
0,89600,2.485684,0.0625
0,96000,2.487783,0.0469
0,102400,2.482742,0.1250
0,108800,2.485614,0.0781
0,115200,2.484985,0.1094
0,121600,2.487154,0.0781
0,128000,2.483120,0.1094
0,134400,2.485867,0.0625
0,140800,2.483428,0.0938
0,147200,2.483820,0.1094
0,153600,2.483483,0.1094
0,160000,2.483544,0.0625
0,166400,2.482351,0.1250
0,172800,2.485471,0.1094
0,179200,2.487365,0.0781
