epoch,batch,all,hit
0,0,2.664298,0.0898
0,25600,1.512604,0.5078
0,51200,0.647292,0.7773
0,76800,0.384032,0.8867
0,102400,0.231327,0.9414
0,128000,0.313924,0.8906
0,153600,0.232445,0.9336
0,179200,0.212713,0.9102
0,204800,0.204156,0.9219
1,0,0.207803,0.9336
1,25600,0.203136,0.9336
1,51200,0.243303,0.9062
1,76800,0.249584,0.9375
1,102400,0.150566,0.9648
1,128000,0.187830,0.9531
1,153600,0.173953,0.9414
1,179200,0.138212,0.9453
1,204800,0.121853,0.9492
2,0,0.147893,0.9609
2,25600,0.160714,0.9453
2,51200,0.194153,0.9453
2,76800,0.243691,0.9297
2,102400,0.115706,0.9688
2,128000,0.163381,0.9414
2,153600,0.196914,0.9375
2,179200,0.132743,0.9570
2,204800,0.149331,0.9531
3,0,0.121021,0.9609
3,25600,0.123507,0.9492
3,51200,0.171664,0.9375
3,76800,0.197800,0.9375
3,102400,0.157568,0.9648
3,128000,0.155892,0.9570
3,153600,0.131094,0.9570
3,179200,0.126637,0.9531
3,204800,0.109344,0.9609
4,0,0.127933,0.9648
4,25600,0.132527,0.9609
4,51200,0.212851,0.9453
4,76800,0.188157,0.9492
4,102400,0.133753,0.9648
4,128000,0.153959,0.9609
4,153600,0.142988,0.9375
4,179200,0.133806,0.9531
4,204800,0.123992,0.9648
5,0,0.096877,0.9648
5,25600,0.132930,0.9570
5,51200,0.185398,0.9492
5,76800,0.195260,0.9570
5,102400,0.118671,0.9688
5,128000,0.136367,0.9688
5,153600,0.143215,0.9492
5,179200,0.123973,0.9570
5,204800,0.111883,0.9609
6,0,0.129936,0.9453
6,25600,0.122424,0.9531
6,51200,0.141480,0.9531
6,76800,0.158478,0.9609
6,102400,0.101919,0.9844
6,128000,0.122701,0.9688
6,153600,0.107891,0.9688
6,179200,0.119644,0.9570
6,204800,0.094447,0.9648
7,0,0.104674,0.9570
7,25600,0.108934,0.9570
7,51200,0.157830,0.9453
7,76800,0.139456,0.9570
7,102400,0.129529,0.9727
7,128000,0.112582,0.9648
7,153600,0.105986,0.9688
7,179200,0.116183,0.9531
7,204800,0.089932,0.9648
8,0,0.093726,0.9648
8,25600,0.101147,0.9688
8,51200,0.148862,0.9453
8,76800,0.143568,0.9531
8,102400,0.124201,0.9727
8,128000,0.132002,0.9609
8,153600,0.120202,0.9609
8,179200,0.106069,0.9570
8,204800,0.077583,0.9648
9,0,0.113040,0.9570
9,25600,0.097981,0.9531
9,51200,0.108433,0.9688
9,76800,0.125510,0.9570
9,102400,0.092023,0.9805
9,128000,0.110804,0.9688
9,153600,0.133180,0.9492
9,179200,0.132053,0.9453
9,204800,0.090778,0.9609
10,0,0.103301,0.9570
10,25600,0.083512,0.9648
10,51200,0.123247,0.9531
10,76800,0.126227,0.9648
10,102400,0.135584,0.9766
10,128000,0.111025,0.9688
10,153600,0.138728,0.9492
10,179200,0.108848,0.9492
10,204800,0.105669,0.9648
11,0,0.116738,0.9609
11,25600,0.080332,0.9609
11,51200,0.103829,0.9688
11,76800,0.139622,0.9570
11,102400,0.107674,0.9727
11,128000,0.098477,0.9648
11,153600,0.103285,0.9688
11,179200,0.102181,0.9531
11,204800,0.085681,0.9727
12,0,0.119948,0.9531
12,25600,0.073028,0.9727
12,51200,0.097014,0.9766
12,76800,0.131151,0.9609
12,102400,0.099636,0.9727
12,128000,0.094777,0.9688
12,153600,0.125483,0.9453
12,179200,0.097135,0.9648
12,204800,0.084365,0.9727
13,0,0.086180,0.9727
13,25600,0.074360,0.9727
13,51200,0.085142,0.9766
13,76800,0.141936,0.9609
13,102400,0.086886,0.9805
13,128000,0.099227,0.9648
13,153600,0.150532,0.9492
13,179200,0.093326,0.9570
13,204800,0.071127,0.9805
14,0,0.070510,0.9727
14,25600,0.071290,0.9688
14,51200,0.074882,0.9688
14,76800,0.133363,0.9727
14,102400,0.083788,0.9805
14,128000,0.091492,0.9609
14,153600,0.135071,0.9492
14,179200,0.103425,0.9609
14,204800,0.088651,0.9688
15,0,0.081711,0.9727
15,25600,0.061378,0.9766
15,51200,0.073516,0.9727
15,76800,0.110262,0.9727
15,102400,0.091737,0.9766
15,128000,0.111420,0.9609
15,153600,0.118907,0.9570
15,179200,0.082443,0.9688
15,204800,0.088137,0.9727
16,0,0.084060,0.9648
16,25600,0.064540,0.9766
16,51200,0.070187,0.9727
16,76800,0.119719,0.9805
16,102400,0.089159,0.9844
16,128000,0.081303,0.9727
16,153600,0.108985,0.9531
16,179200,0.087822,0.9648
16,204800,0.093150,0.9805
17,0,0.091287,0.9648
17,25600,0.065738,0.9805
17,51200,0.061286,0.9805
17,76800,0.132881,0.9688
17,102400,0.103616,0.9727
17,128000,0.099564,0.9609
17,153600,0.130447,0.9648
17,179200,0.076347,0.9609
17,204800,0.085085,0.9727
18,0,0.108459,0.9609
18,25600,0.063988,0.9727
18,51200,0.058416,0.9805
18,76800,0.101757,0.9844
18,102400,0.075367,0.9805
18,128000,0.104537,0.9648
18,153600,0.129833,0.9492
18,179200,0.094896,0.9609
18,204800,0.083783,0.9766
19,0,0.082443,0.9688
19,25600,0.071594,0.9727
19,51200,0.060150,0.9805
19,76800,0.094769,0.9766
19,102400,0.112205,0.9727
19,128000,0.080621,0.9727
19,153600,0.129179,0.9492
19,179200,0.069261,0.9766
19,204800,0.081074,0.9805
20,0,0.114606,0.9531
20,25600,0.066830,0.9766
20,51200,0.057847,0.9805
20,76800,0.112047,0.9688
20,102400,0.079129,0.9844
20,128000,0.088073,0.9688
20,153600,0.131055,0.9531
20,179200,0.078011,0.9688
20,204800,0.066973,0.9844
21,0,0.084240,0.9609
21,25600,0.065710,0.9766
21,51200,0.057242,0.9844
21,76800,0.108768,0.9688
21,102400,0.063803,0.9883
21,128000,0.098876,0.9727
21,153600,0.136261,0.9531
21,179200,0.076299,0.9805
21,204800,0.077195,0.9844
22,0,0.055845,0.9766
22,25600,0.056240,0.9766
22,51200,0.041785,0.9883
22,76800,0.108745,0.9805
22,102400,0.071499,0.9844
22,128000,0.071734,0.9805
22,153600,0.124184,0.9609
22,179200,0.078949,0.9648
22,204800,0.073277,0.9805
23,0,0.077332,0.9648
23,25600,0.062202,0.9766
23,51200,0.046030,0.9844
23,76800,0.107444,0.9727
23,102400,0.070950,0.9844
23,128000,0.088706,0.9727
23,153600,0.119260,0.9609
23,179200,0.058438,0.9805
23,204800,0.069425,0.9844
24,0,0.102439,0.9688
24,25600,0.076207,0.9805
24,51200,0.037437,0.9961
24,76800,0.096615,0.9766
24,102400,0.055345,0.9883
24,128000,0.086029,0.9766
24,153600,0.137281,0.9570
24,179200,0.060783,0.9805
24,204800,0.065411,0.9766
25,0,0.073696,0.9727
25,25600,0.057752,0.9766
25,51200,0.035624,0.9922
25,76800,0.095109,0.9727
25,102400,0.077210,0.9805
25,128000,0.084682,0.9727
25,153600,0.126284,0.9609
25,179200,0.080494,0.9688
25,204800,0.076507,0.9727
