epoch,batch,all,hit
0,0,2.488794,0.0938
0,25600,1.143539,0.5820
0,51200,0.563736,0.8008
0,76800,0.565037,0.7812
0,102400,0.353181,0.8828
0,128000,0.423418,0.8398
0,153600,0.425446,0.8672
0,179200,0.408674,0.8828
0,204800,0.339672,0.8594
1,0,0.368621,0.8906
1,25600,0.333055,0.8945
1,51200,0.273735,0.9102
1,76800,0.317910,0.8945
1,102400,0.194813,0.9453
1,128000,0.262383,0.9102
1,153600,0.260213,0.9141
1,179200,0.287907,0.9141
1,204800,0.266169,0.9180
2,0,0.240104,0.9180
2,25600,0.272162,0.9297
2,51200,0.227836,0.9219
2,76800,0.241965,0.9062
2,102400,0.176918,0.9570
2,128000,0.252507,0.9219
2,153600,0.198523,0.9258
2,179200,0.251738,0.9180
2,204800,0.220142,0.9375
3,0,0.222846,0.9297
3,25600,0.214146,0.9336
3,51200,0.207771,0.9375
3,76800,0.197031,0.9219
3,102400,0.167760,0.9336
3,128000,0.222611,0.9258
3,153600,0.182647,0.9375
